# timestamps [seconds],pts
38845.487865,1787255
38845.519953,1789358
38845.555845,1791710
38845.587723,1793799
38845.619731,1795897
38845.655883,1798266
38845.687752,1800354
38845.723789,1802716
38845.755781,1804813
38845.787811,1806912
38845.823810,1809271
38845.855861,1811371
38845.891703,1813720
38845.923963,1815834
38845.955768,1817919
38845.991774,1820278
38846.023839,1822380
38846.055831,1824476
38846.091731,1826829
38846.123717,1828925
38846.159763,1831288
38846.191827,1833389
38846.223825,1835486
38846.259835,1837846
38846.291745,1839937
38846.323753,1842035
38846.359883,1844402
38846.392171,1846518
38846.427951,1848863
38846.459766,1850948
38846.491777,1853046
38846.527871,1855411
38846.559835,1857506
38846.591928,1859609
38846.627853,1861964
38846.662288,1864220
38846.695882,1866422
38846.727958,1868524
38846.759919,1870619
38846.795824,1872972
38846.827866,1875072
38846.859840,1877167
38846.895953,1879534
38846.927962,1881631
38846.963814,1883981
38846.995908,1886084
38847.027797,1888174
38847.063917,1890541
38847.095863,1892635
38847.128395,1894767
38847.163835,1897089
38847.196233,1899213
38847.232046,1901560
38847.264228,1903669
38847.295787,1905737
38847.331938,1908106
38847.363804,1910194
38847.399957,1912564
38847.431945,1914660
38847.463880,1916753
38847.499802,1919107
38847.531865,1921208
38847.563914,1923309
38847.599846,1925663
38847.631935,1927766
38847.668085,1930135
38847.699955,1932224
38847.732031,1934326
38847.767878,1936675
38847.799960,1938778
38847.831982,1940876
38847.867941,1943233
38847.899835,1945323
38847.935947,1947690
38847.967950,1949787
38848.000207,1951901
38848.035826,1954235
38848.067841,1956333
38848.099893,1958434
38848.136026,1960802
38848.167900,1962891
38848.204323,1965278
38848.235822,1967342
38848.268097,1969457
38848.304175,1971822
38848.336149,1973917
38848.367922,1975999
38848.403873,1978355
38848.436079,1980466
38848.472085,1982826
38848.504192,1984930
38848.536185,1987026
38848.571870,1989365
38848.604198,1991484
38848.635907,1993562
38848.672237,1995943
38848.704054,1998028
38848.741995,2000514
38848.771964,2002478
38848.803666,2004556
38848.839907,2006931
38848.871840,2009023
38848.907837,2011383
38848.939744,2013474
38848.971869,2015579
38849.007830,2017936
38849.039871,2020035
38849.071806,2022128
38849.107762,2024485
38849.140082,2026603
38849.176503,2028990
38849.207976,2031052
38849.239968,2033149
38849.275898,2035503
38849.307855,2037598
38849.339918,2039699
38849.375967,2042061
38849.407919,2044155
38849.443788,2046506
38849.475856,2048608
38849.507793,2050701
38849.543869,2053065
38849.575929,2055166
38849.609376,2057358
38849.644203,2059640
38849.675886,2061717
38849.711888,2064076
38849.744211,2066194
38849.775978,2068276
38849.811941,2070633
38849.843858,2072725
38849.875833,2074820
38849.911840,2077180
38849.944061,2079291
38849.980265,2081664
38850.011836,2083733
38850.043946,2085837
38850.080029,2088202
38850.112212,2090311
38850.143950,2092391
38850.179795,2094740
38850.211841,2096840
