# timestamps [seconds],pts
4381.139979,2443799
4381.173926,2446023
4381.207779,2448242
4381.242235,2450500
4381.275667,2452691
4381.308102,2454817
4381.342164,2457049
4381.374013,2459136
4381.408289,2461382
4381.440452,2463490
4381.474906,2465748
4381.508933,2467978
4381.541828,2470134
4381.575328,2472329
4381.609945,2474598
4381.643069,2476769
4381.677894,2479051
4381.710633,2481196
4381.744037,2483386
4381.777606,2485585
4381.813111,2487912
4381.843725,2489919
4381.877140,2492108
4381.910605,2494302
4381.944615,2496530
4381.977443,2498682
4382.011761,2500931
4382.044479,2503075
4382.078579,2505310
4382.112014,2507501
4382.145633,2509704
4382.179319,2511912
4382.213665,2514163
4382.247039,2516350
4382.279881,2518502
4382.313115,2520680
4382.346724,2522883
4382.380779,2525114
4382.413866,2527283
4382.447468,2529485
4382.483276,2531832
4382.514994,2533910
4382.548082,2536079
4382.580164,2538181
4382.615226,2540479
4382.649128,2542701
4382.681753,2544839
4382.714944,2547014
4382.748347,2549203
4382.783055,2551478
4382.818580,2553806
4382.849308,2555819
4382.883069,2558032
4382.915986,2560189
4382.950334,2562440
4382.984290,2564666
4383.018336,2566897
4383.052533,2569138
4383.088264,2571479
4383.119952,2573556
4383.155015,2575854
4383.187846,2578006
4383.221662,2580222
4383.257455,2582567
4383.289723,2584682
4383.325295,2587013
4383.357330,2589113
4383.389486,2591220
4383.425513,2593581
4383.458794,2595762
4383.491169,2597884
4383.525375,2600126
4383.558979,2602328
4383.593529,2604592
4383.626453,2606750
4383.657889,2608810
4383.693485,2611143
4383.726739,2613322
4383.758829,2615425
4383.798438,2618021
4383.827201,2619906
4383.861303,2622141
4383.894800,2624336
4383.928526,2626546
4383.962983,2628804
4383.996977,2631032
4384.030175,2633208
4384.063133,2635367
4384.098029,2637654
4384.130151,2639760
4384.164505,2642011
4384.198159,2644216
4384.231465,2646399
4384.264390,2648557
4384.298497,2650792
4384.332876,2653045
4384.368213,2655361
4384.399359,2657402
4384.434097,2659679
4384.467981,2661899
4384.500557,2664034
4384.534297,2666245
4384.568749,2668503
4384.601095,2670623
4384.634412,2672806
4384.669716,2675120
4384.702382,2677261
4384.736679,2679508
4384.769375,2681651
4384.807258,2684134
4384.837498,2686116
4384.871604,2688351
4384.904777,2690525
4384.938340,2692724
4384.972841,2694985
4385.008737,2697338
4385.039770,2699371
4385.074089,2701621
4385.108793,2703895
4385.141469,2706036
4385.175057,2708237
4385.209611,2710502
4385.244370,2712780
4385.278454,2715014
4385.312129,2717220
4385.345893,2719433
4385.380348,2721691
4385.414174,2723908
4385.448580,2726163
4385.482261,2728370
4385.515956,2730578
4385.549076,2732749
4385.582126,2734915
4385.616266,2737152
4385.650931,2739424
4385.683516,2741559
4385.717807,2743807
4385.751408,2746009
4385.786485,2748307
4385.818245,2750389
4385.851802,2752588
4385.885140,2754773
4385.919016,2756993
4385.952290,2759173
4385.984785,2761303
4386.018822,2763534
4386.052163,2765719
4386.087682,2768046
4386.119102,2770105
4386.153391,2772353
4386.186722,2774537
4386.219642,2776694
4386.253930,2778941
4386.315140,2782953
4386.387742,2787711
4386.419465,2789790
4386.454981,2792117
4386.490611,2794452
4386.526138,2796781
4386.557570,2798840
4386.590899,2801025
4386.626393,2803351
4386.660459,2805583
4386.692503,2807683
4386.727992,2810009
4386.764293,2812388
4386.799352,2814686
4386.829383,2816654
4386.863101,2818863
4386.896185,2821032
4386.929377,2823207
4386.963312,2825431
4386.997566,2827676
4387.031225,2829881
4387.065049,2832098
4387.100033,2834391
4387.131782,2836471
4387.167200,2838793
4387.199886,2840935
4387.232542,2843075
4387.266507,2845301
4387.300473,2847527
4387.333055,2849662
4387.366926,2851882
4387.400273,2854067
4387.434034,2856279
4387.467324,2858461
4387.500367,2860627
4387.533966,2862829
4387.567588,2865032
4387.601723,2867269
4387.634822,2869438
4387.667548,2871583
4387.701703,2873821
4387.742335,2876484
4387.775912,2878684
4387.812687,2881095
4387.843154,2883091
4387.876337,2885266
4387.911806,2887590
4387.943817,2889688
4387.978143,2891938
4388.011978,2894155
4388.045297,2896339
4388.078073,2898487
4388.112229,2900725
4388.145634,2902914
4388.178722,2905083
4388.212049,2907267
4388.246034,2909494
4388.279723,2911702
4388.313053,2913886
4388.346987,2916110
4388.380104,2918280
4388.413856,2920492
4388.447027,2922666
4388.480146,2924836
4388.513816,2927043
4388.547626,2929259
4388.580774,2931431
4388.615442,2933703
4388.649119,2935910
4388.681908,2938059
4388.715492,2940260
4388.749303,2942476
4388.782839,2944673
4388.818160,2946988
4388.849768,2949060
4388.883150,2951247
4388.916569,2953437
4388.950131,2955637
4388.984544,2957892
4389.019040,2960153
4389.051854,2962303
4389.084788,2964462
4389.119469,2966734
4389.153752,2968981
4389.189482,2971323
4389.221397,2973414
4389.253578,2975523
4389.289288,2977864
4389.321448,2979971
4389.357416,2982328
4389.389495,2984431
4389.422056,2986565
4389.457558,2988891
4389.489549,2990988
4389.521861,2993105
4389.557285,2995427
4389.589568,2997542
4389.625401,2999891
4389.657544,3001997
4389.689505,3004092
4389.725287,3006437
4389.757412,3008542
4389.791772,3010794
4389.825469,3013002
4389.857454,3015098
4389.893332,3017450
4389.925417,3019552
4389.957362,3021646
4389.993296,3024001
4390.025520,3026113
4390.057521,3028210
4390.093389,3030560
4390.126910,3032757
4390.161873,3035048
4390.193340,3037111
4390.225286,3039204
4390.261600,3041584
4390.293337,3043664
4390.325899,3045798
4390.361599,3048137
4390.393323,3050217
4390.429155,3052565
4390.461155,3054662
4390.493588,3056787
4390.529417,3059135
4390.561382,3061230
4390.597421,3063592
4390.629556,3065698
4390.662038,3067827
4390.697358,3070141
4390.729346,3072238
4390.761309,3074332
4390.797269,3076689
4390.834030,3079098
4390.867781,3081310
4390.910914,3084137
4390.945844,3086426
4390.979595,3088638
4391.012223,3090776
4391.044476,3092890
4391.079544,3095188
4391.113497,3097413
4391.147870,3099666
4391.180548,3101807
4391.218743,3104310
4391.252693,3106535
4391.285906,3108712
4391.318614,3110855
4391.353033,3113111
4391.386758,3115321
4391.419129,3117443
4391.454796,3119780
4391.487122,3121899
4391.521404,3124145
4391.554378,3126306
4391.587377,3128469
4391.620334,3130629
4391.654476,3132866
4391.687855,3135054
4391.721133,3137235
4391.755445,3139483
4391.790303,3141768
4391.822503,3143878
4391.855869,3146064
4391.888424,3148198
4391.924247,3150546
4391.956485,3152658
4391.989083,3154795
4392.023085,3157023
4392.057272,3159263
4392.089655,3161386
4392.123633,3163612
4392.157684,3165844
4392.191722,3168075
4392.226144,3170330
